cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
RT-112	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	not available	female	not available	not available
RS-5	Homo sapiens	fibroblast	sarcomatoid mesothelioma	not available	not available	not available	not available	not available
RS4;11	Homo sapiens	hematopoietic system and lymphoid system	adult B acute lymphoblastic leukemia	not available	not available	not available	not available	not available
RPMI-8402	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
Panc 03.27	Homo sapiens	pancreas	pancreatic adenocarcinoma	65 year	not available	female	not available	not available
RPMI-7951	Homo sapiens	skin	melanoma	18 year	not available	not available	not available	not available
RMUG-S	Homo sapiens	ovary	ovarian mucinous cystadenocarcinoma; ovarian adenocarcinoma	62 year	not available	female	not available	not available
RMG-I	Homo sapiens	ovary	ovarian clear cell adenocarcinoma; ovarian carcinoma	not available	not available	not available	not available	not available
NU-DHL-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma	not available	not available	not available	not available	not available
NU-DUL-1	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	not available	not available	not available	not available	not available
NMC-G1	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
NOMO-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute monocytic leukemia	not available	not available	not available	not available	not available
NHAHTDD	Homo sapiens	central nervous system	normal cell line	not available	not available	not available	not available	not available
OVCAR-3	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	not available	not available	not available	not available
NCO2	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
NH-6	Homo sapiens	autonomic ganglion	adrenal gland neuroblastoma	not available	not available	not available	not available	not available
SU-DHL-1	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma; non-Hodgkin's lymphoma	10 year	not available	male	not available	not available
NUGC-2	Homo sapiens	stomach	gastric adenocarcinoma	56 year	not available	female	not available	not available
NUGC-3	Homo sapiens	stomach	gastric adenocarcinoma	72 year	not available	male	not available	not available
HCC-56	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
HCC70	Homo sapiens	breast	breast ductal adenocarcinoma	49 year	not available	female	not available	not available
HCC461	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC515	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC4006	Homo sapiens	lung	lung adenocarcinoma	50 year	not available	male	not available	not available
HCC-44	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC-366	Homo sapiens	lung	adenosquamous lung carcinoma	not available	not available	not available	not available	not available
HCC38	Homo sapiens	breast	breast ductal adenocarcinoma	50 year	not available	female; not available	not available	not available
HCC-78	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
HCC827 GR5	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
NCI-H747	Homo sapiens	large intestine	cecum adenocarcinoma; colorectal adenocarcinoma	not available	not available	not available	not available	not available
TE 441.T	Homo sapiens	soft tissue	rhabdomyosarcoma	not available	not available	not available	not available	not available
TE-1	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
NCI-H727	Homo sapiens	lung	lung carcinoid tumor	65 year	not available	female	not available	not available
SNU-C5	Homo sapiens	large intestine	cecum adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
TE-6	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	male	not available	not available
TE 617.T	Homo sapiens	soft tissue	rhabdomyosarcoma	not available	not available	not available	not available	not available
TE-5	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
TE-4	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	female	not available	not available
SNU-878	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-886	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-840	Homo sapiens	ovary	malignant ovarian Brenner tumor	not available	not available	not available	not available	not available
SNU-869	Homo sapiens	biliary system	ampulla of Vater adenocarcinoma	not available	not available	not available	not available	not available
SNU-C1	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	71 year	not available	male	not available	not available
SNU-C2A	Homo sapiens	large intestine	cecum adenocarcinoma	not available	not available	not available	not available	not available
SNU-899	Homo sapiens	upper digestive tract	laryngeal squamous cell carcinoma	not available	not available	not available	not available	not available
SNU-8	Homo sapiens	ovary	ovarian serous cystadenocarcinoma	not available	not available	not available	not available	not available
L-1236	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	not available	not available	not available	not available	not available
L3.3	Homo sapiens	pancreas	pancreatic adenosquamous carcinoma	not available	not available	not available	not available	not available
KYSE-520	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	58 year	not available	female	not available	not available
KYSE-70	Homo sapiens	esophagus	esophageal squamous cell carcinoma; squamous cell carcinoma	77 year	not available	male	not available	not available
JHH-1	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
JH-EsoAd1	Homo sapiens	esophagus	Barrett adenocarcinoma	not available	not available	not available	not available	not available
L-363	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; leukemia	not available	not available	not available	not available	not available
L-428	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	not available	not available	not available	not available	not available
IST-MES2	Homo sapiens	pleura	mesothelioma	not available	not available	not available	not available	not available
IST-MES1	Homo sapiens	pleura	mesothelioma	not available	not available	female	not available	not available
JeKo-1	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma	not available	not available	not available	not available	not available
J82	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
IOMM-Lee	Homo sapiens	central nervous system	meningioma	not available	not available	not available	not available	not available
INA-6	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
Ishikawa (Heraklio) 02 ER-	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
IPC-298	Homo sapiens	skin	cutaneous melanoma; melanoma	64 year	not available	female	not available	not available
NCI-N87	Homo sapiens	stomach	gastric tubular adenocarcinoma; gastric carcinoma	not available	not available	not available	not available	not available
SK-PN-DW	Homo sapiens	bone	primitive neuroectodermal tumor; Ewing sarcoma	not available	not available	male	not available	not available
SK-N-MC	Homo sapiens	bone	Askin tumor	not available	not available	not available	not available	not available
NCI-H929	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
SK-N-SH	Homo sapiens	autonomic ganglion	neuroblastoma	4 year	not available	female	not available	not available
